ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1413-81232024001200218-spa","Perfis sociodemográficos de domicílios indígenas nos censos 1991, 2000 e 2010","Silva, Leandro Okamoto da, Carmo, Cleber Nascimento do, Santos, Ricardo Ventura","Ciência &amp; Saúde Coletiva; 29(12); -","Ciência &amp; Saúde Coletiva","Português, Espanhol, Inglês","2024","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232024001200218&lang=pt" 
"S2179-08922024000300405-scl","O envelhecimento populacional brasileiro sob uma perspectiva regional e urbana","Faria, Rivaldo, Spode, Pedro","GEOUSP; 28(3); -","GEOUSP","Português, Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-08922024000300405&lang=pt" 
"S1806-11172024000100611-scl","Professores de Física da cidade de São Paulo: um olhar relacional para a desigualdade educacional","Muneratto, Felipe, Watanabe, Graciella","Revista Brasileira de Ensino de Física; 46(); -","Revista Brasileira de Ensino de Física","Português","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172024000100611&lang=pt" 
"S1982-45132024000100224-scl","Análise Geográfica da Distribuição de Temperatura da Superfície, Cobertura Vegetal e sua Relação com Indicadores Socioeconômicos - Cuiabá/MT","Soria, Lucyla Silva, Mengue, Vagner Paz, Scottá, Fernando Comerlato","Sociedade &amp; Natureza; 36(); -","Sociedade &amp; Natureza","Inglês, Português","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-45132024000100224&lang=pt" 
"S1413-81232024001200218-scl","Perfis sociodemográficos de domicílios indígenas nos censos 1991, 2000 e 2010","Silva, Leandro Okamoto da, Carmo, Cleber Nascimento do, Santos, Ricardo Ventura","Ciência &amp; Saúde Coletiva; 29(12); -","Ciência &amp; Saúde Coletiva","Português, Inglês, Espanhol","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232024001200218&lang=pt" 
"S1413-81232023000702035-scl","Avaliação das Instituições de Longa Permanência para Idosos no Brasil: um panorama das desigualdades regionais","Guimarães, Mirna Rodrigues Costa, Giacomin, Karla Cristina, Ferreira, Raquel Conceição, Vargas, Andrea Maria Duarte","Ciência &amp; Saúde Coletiva; 28(7); 2035-2050","Ciência &amp; Saúde Coletiva","Inglês, Português","2023","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232023000702035&lang=pt" 
"S1413-81232023000702035-spa","Avaliação das Instituições de Longa Permanência para Idosos no Brasil: um panorama das desigualdades regionais","Guimarães, Mirna Rodrigues Costa, Giacomin, Karla Cristina, Ferreira, Raquel Conceição, Vargas, Andrea Maria Duarte","Ciência &amp; Saúde Coletiva; 28(7); 2035-2050","Ciência &amp; Saúde Coletiva","Português, Inglês","2023","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232023000702035&lang=pt" 
"S1413-81232023000200373-scl","Reabilitação física/funcional no Brasil: análise espaço-temporal da oferta no Sistema Único de Saúde físicafuncional física funcional Brasil espaçotemporal espaço temporal","Gomes, Suzy Maria, Miranda, Gabriella Morais Duarte, Sousa, Fabiana de Oliveira Silva, Nascimento, Cynthia Maria Barboza do, Lima, Maria Luiza Lopes Timóteo de, Silva, Vanessa de Lima, Vilela, Mirella Bezerra Rodrigues","Ciência &amp; Saúde Coletiva; 28(2); 373-383","Ciência &amp; Saúde Coletiva","Português","2023","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232023000200373&lang=pt" 
"S1982-21702023000100201-scl","Harmonizing income classes from 2000 and 2010 Brazilian censuses 200 201 20 2","Araujo, Agnes Silva de, Saraiva, Marcus Vinícius Pereira, Barros, Joana, Queiroz, Alfredo Pereira de","Boletim de Ciências Geodésicas; 29(1); -","Boletim de Ciências Geodésicas","Inglês","2023","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702023000100201&lang=pt" 
"S1413-81232023000200373-spa","Reabilitação física/funcional no Brasil: análise espaço-temporal da oferta no Sistema Único de Saúde","Gomes, Suzy Maria, Miranda, Gabriella Morais Duarte, Sousa, Fabiana de Oliveira Silva, Nascimento, Cynthia Maria Barboza do, Lima, Maria Luiza Lopes Timóteo de, Silva, Vanessa de Lima, Vilela, Mirella Bezerra Rodrigues","Ciência &amp; Saúde Coletiva; 28(2); 373-383","Ciência &amp; Saúde Coletiva","Português, Inglês","2023","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232023000200373&lang=pt" 
"S0034-89102022000100276-scl","Differentials in death count records by databases in Brazil in 2010","Diógenes, Victor Hugo Dias, Pinto Júnior, Elzo Pereira, Gonzaga, Marcos Roberto, Queiroz, Bernardo Lanza, Lima, Everton E. C., Costa, Lilia Carolina C. da, Rocha, Aline S., Ferreira, Andrêa J. F., Teixeira, Camila S. S., Alves, Flávia Jôse O., Rameh, Leila, Flores-Ortiz, Renzo, Leyland, Alastair, Dundas, Ruth, Barreto, Maurício L., Ichihara, Maria Yury Travassos","Revista de Saúde Pública; 56(); -","Revista de Saúde Pública","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102022000100276&lang=pt" 
"S1413-81232022000702717-scl","Mapeamento de pântanos alimentares em Campinas, Brasil","Grilo, Mariana Fagundes, Menezes, Caroline de, Duran, Ana Clara","Ciência &amp; Saúde Coletiva; 27(7); 2717-2728","Ciência &amp; Saúde Coletiva","Português, Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232022000702717&lang=pt" 
"S1413-81232022000702717-spa","Mapeamento de pântanos alimentares em Campinas, Brasil","Grilo, Mariana Fagundes, Menezes, Caroline de, Duran, Ana Clara","Ciência &amp; Saúde Coletiva; 27(7); 2717-2728","Ciência &amp; Saúde Coletiva","Português, Inglês","2022","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232022000702717&lang=pt" 
"S0034-89102022000100276-spa","Differentials in death count records by databases in Brazil in 2010","Diógenes, Victor Hugo Dias, Pinto Júnior, Elzo Pereira, Gonzaga, Marcos Roberto, Queiroz, Bernardo Lanza, Lima, Everton E. C., Costa, Lilia Carolina C. da, Rocha, Aline S., Ferreira, Andrêa J. F., Teixeira, Camila S. S., Alves, Flávia Jôse O., Rameh, Leila, Flores-Ortiz, Renzo, Leyland, Alastair, Dundas, Ruth, Barreto, Maurício L., Ichihara, Maria Yury Travassos","Revista de Saúde Pública; 56(); -","Revista de Saúde Pública","Inglês","2022","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102022000100276&lang=pt" 
"S1413-81232021001004453-scl","O paradoxo de Simpson: um estudo de caso demográfico sobre dinâmica da população, pobreza e desigualdade","Guimarães, Raphael Mendonça, Andrade, Flávia Cristina Drumond","Ciência &amp; Saúde Coletiva; 26(10); 4453-4469","Ciência &amp; Saúde Coletiva","Português, Inglês","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232021001004453&lang=pt" 
